stratum,level,turn,survival,ci_lo,ci_hi,n_at_risk,n_events
finality,retry_invited,138.0,0.7708333333333335,0.6931761518920682,0.8312173823878415,112,1
finality,retry_invited,144.0,0.7638888888888891,0.6856959472966809,0.8250999732704989,111,1
finality,retry_invited,151.0,0.7568807339449544,0.6781566256666277,0.8189110726133518,109,1
finality,retry_invited,156.0,0.7488288112434123,0.6692459229466593,0.8119461226486315,94,1
finality,retry_invited,159.0,0.7389758005691568,0.6578357353611413,0.8037379518595409,76,1
finality,retry_invited,168.0,0.7221808960107668,0.6351536592937409,0.7918377356061457,44,1
finality,retry_invited,173.0,0.7021203155660233,0.6073533260560113,0.7781645432350076,36,1
finality,final_this_attempt,0.0,1.0,1.0,1.0,144,0
finality,final_this_attempt,11.0,0.9930555555555556,0.9517324941643028,0.9990188544238897,144,1
finality,final_this_attempt,12.0,0.9861111111111112,0.9456112309186862,0.9965082236997774,143,1
finality,final_this_attempt,14.0,0.9722222222222223,0.9276867568262944,0.9894830038772783,142,2
finality,final_this_attempt,29.0,0.9652777777777779,0.9185969961657756,0.9853990861034083,140,1
finality,final_this_attempt,44.0,0.9583333333333335,0.9096109684407587,0.9810624054559088,139,1
finality,final_this_attempt,52.0,0.951388888888889,0.9007417349210869,0.9765249660332502,138,1
finality,final_this_attempt,54.0,0.9444444444444445,0.8919856001437534,0.9718225123444725,137,1
finality,final_this_attempt,55.0,0.9375000000000001,0.8833343272163039,0.9669808974810363,136,1
finality,final_this_attempt,58.0,0.9305555555555557,0.8747789671931618,0.9620195561773375,135,1
finality,final_this_attempt,59.0,0.9236111111111113,0.8663110929087104,0.9569535473924686,134,1
finality,final_this_attempt,62.0,0.9097222222222224,0.8496084790265422,0.9465530833123597,133,2
finality,final_this_attempt,64.0,0.902777777777778,0.8413612682819642,0.9412362938558523,131,1
finality,final_this_attempt,66.0,0.8958333333333336,0.8331764269638094,0.9358511281391286,130,1
finality,final_this_attempt,67.0,0.8888888888888892,0.8250494961090173,0.9304032282015862,129,1
finality,final_this_attempt,68.0,0.8819444444444448,0.816976554495066,0.9248974186815767,128,1
finality,final_this_attempt,71.0,0.8750000000000003,0.8089541396594504,0.9193378640226578,127,1
finality,final_this_attempt,77.0,0.8680555555555559,0.800979181106302,0.913728188632623,126,1
finality,final_this_attempt,86.0,0.8611111111111115,0.7930489442894275,0.9080715701596935,125,1
finality,final_this_attempt,90.0,0.8541666666666671,0.78516098375174,0.9023708129056934,124,1
finality,final_this_attempt,93.0,0.8472222222222225,0.7773131038984622,0.8966284063242761,123,1
finality,final_this_attempt,95.0,0.8402777777777781,0.7695033260798253,0.8908465721562171,122,1
finality,final_this_attempt,101.0,0.8333333333333337,0.761729860872602,0.8850273027938301,121,1
finality,final_this_attempt,115.0,0.8263888888888893,0.753991084645678,0.8791723927943713,120,1
finality,final_this_attempt,120.0,0.8194444444444449,0.7462855196627058,0.8732834649837511,119,1
finality,final_this_attempt,150.0,0.8125000000000004,0.7386118171140529,0.8673619922460467,118,1
finality,final_this_attempt,166.0,0.7718750000000004,0.6545966006122876,0.8536567284771521,20,1
finality,never_reconsidered,0.0,1.0,1.0,1.0,144,0
finality,never_reconsidered,12.0,0.9930555555555556,0.9517324941643028,0.9990188544238897,144,1
finality,never_reconsidered,13.0,0.9791666666666667,0.9368061347012656,0.9932329667245207,143,2
finality,never_reconsidered,44.0,0.9722222222222223,0.9276867568262944,0.9894830038772783,141,1
finality,never_reconsidered,48.0,0.9652777777777779,0.9185969961657756,0.9853990861034083,140,1
finality,never_reconsidered,49.0,0.951388888888889,0.9007417349210869,0.9765249660332502,139,2
finality,never_reconsidered,50.0,0.9444444444444445,0.8919856001437534,0.9718225123444725,137,1
finality,never_reconsidered,52.0,0.9375000000000001,0.8833343272163039,0.9669808974810363,136,1
finality,never_reconsidered,54.0,0.9305555555555557,0.8747789671931618,0.9620195561773375,135,1
finality,never_reconsidered,57.0,0.9236111111111113,0.8663110929087104,0.9569535473924686,134,1
finality,never_reconsidered,63.0,0.9166666666666667,0.85792314748041,0.9517948277549262,133,1
finality,never_reconsidered,66.0,0.9097222222222223,0.8496084790265421,0.9465530833123595,132,1
finality,never_reconsidered,68.0,0.9027777777777779,0.8413612682819642,0.9412362938558522,131,1
finality,never_reconsidered,76.0,0.8958333333333335,0.8331764269638093,0.9358511281391285,130,1
finality,never_reconsidered,91.0,0.8888888888888891,0.8250494961090173,0.930403228201586,129,1
finality,never_reconsidered,112.0,0.8819444444444446,0.816976554495066,0.9248974186815766,128,1
finality,never_reconsidered,123.0,0.8750000000000002,0.8089541396594503,0.9193378640226577,127,1
